"filename", "language", "TypeScript", "JSON", "XML", "JSON with Comments", "Markdown", "JavaScript", "MS SQL", "TypeScript JSX", "CSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\reports\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\roles\_components\roles-manager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 295, 0, 0, 17, 312
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\services\_components\create-category-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\services\_components\create-service-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 5, 81
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\services\_components\services-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 9, 129
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\services\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\settings\_components\settings-manager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 9, 123
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\smart-assign\_components\smart-assign-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 6, 106
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\smart-assign\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\specialties\_components\specialties-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 12, 208
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\specialties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\tickets\[id]\_components\ticket-detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 9, 104
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\tickets\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\tickets\_components\tickets-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 10, 103
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\users\_components\create-photographer-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 10, 155
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\users\_components\users-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 11, 113
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\api\invoice\[id]\route.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 114
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\_components\google-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\callback\route.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\confirm\route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\forgot-password\_components\forgot-password-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\login\_components\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 5, 121
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\register\_components\register-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 5, 188
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\reset-password\_components\reset-password-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 5, 80
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\auth\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\IT - 3rd year\IT 4\Studio project\Studio project\art-photo\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 16, 249
